Age,Area_Rural,Area_Suburban,Area_Urban,Bandwidth_GB_Year,Children,Churn_Yes,Contacts,Contract_Month_To_Month,Contract_One_Year,Contract_Two_Year,CourteousExchange,Deviceprotection_Yes,Email,EvidenceOfActiveListening,Gender_Female,Gender_Male,Gender_Nonbinary,Income,Internetservice_Dsl,Internetservice_Fiber_Optic,Internetservice_None,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,MonthlyCharge,Multiple_Yes,Onlinebackup_Yes,Onlinesecurity_Yes,Options,Outage_Sec_Perweek,Paperlessbilling_Yes,Paymentmethod_Bank_Transfer(Automatic),Paymentmethod_Credit_Card_(Automatic),Paymentmethod_Electronic_Check,Paymentmethod_Mailed_Check,Phone_Yes,Population,Port_Modem_Yes,Reliability,RespectfulResponse,Streamingmovies_Yes,Streamingtv_Yes,Tablet_Yes,Techie_Yes,Techsupport_Yes,Tenure,TimelyFixes,TimelyReplacements,TimelyResponse,Yearly_Equip_Failure
30,0,0,1,1582.295235,1,1,3,1,0,0,4,0,10,2,0,1,0,64256.81,1,0,0,0,0,0,1,0,159.965581,1,1,0,3,11.79073041,1,1,0,0,0,0,8165,0,2,4,0,0,0,0,1,10.06019902,3,4,3,0
39,0,1,0,1840.014467,3,1,1,0,1,0,5,0,13,2,0,1,0,89061.45,0,0,1,1,0,0,0,0,177.65076,0,0,1,4,10.79846973,1,0,0,1,0,1,2093,0,2,3,1,1,0,0,0,13.87001293,3,3,3,0
63,0,0,1,2070.376729,0,1,1,1,0,0,4,1,13,3,1,0,0,31659.3,1,0,0,0,1,0,0,0,194.966286,1,1,0,5,13.52284721,1,1,0,0,0,1,50079,1,3,4,1,0,0,0,0,15.78214958,4,4,3,0
60,1,0,0,882.0985933,2,1,3,0,0,1,3,1,16,3,0,1,0,44142.81,0,0,1,0,0,0,1,0,202.682861,0,0,1,3,9.831166695,0,0,0,0,1,1,7249,0,3,4,1,1,0,0,1,2.303331273,2,4,2,0
61,1,0,0,1833.0967,3,0,1,0,0,1,3,1,11,5,1,0,0,39262.14,0,0,1,0,0,0,0,1,152.490739,0,1,0,3,9.57470568,1,1,0,0,0,1,9463,1,4,2,0,1,0,1,1,17.10995632,4,3,3,0
23,1,0,0,1954.080809,3,1,1,1,0,0,3,0,10,3,0,1,0,19494.75,1,0,0,1,0,0,0,0,149.944668,1,0,0,4,10.92246098,1,0,1,0,0,1,3177,1,4,4,0,1,0,0,0,12.80615845,5,5,5,0
38,1,0,0,2330.319383,4,0,0,1,0,0,3,1,14,3,0,1,0,39624.21,0,1,0,0,0,1,0,0,184.978458,0,1,1,4,12.06889188,1,1,0,0,0,1,69,0,2,2,1,0,0,0,0,20.45390977,3,3,2,3
30,0,1,0,594.1054279,3,0,1,0,0,1,3,1,18,5,0,1,0,45714.47,0,1,0,1,0,0,0,0,127.495766,0,0,1,3,6.984819996,0,1,0,0,0,1,14440,0,4,4,0,0,1,0,0,2.415991977,5,4,5,0
52,0,0,1,713.0633088,3,0,1,1,0,0,5,0,16,5,0,1,0,27442.03,0,1,0,0,0,0,0,1,124.964303,0,0,0,2,9.372975594,1,0,0,1,0,1,381,0,2,3,0,0,0,0,1,6.652298992,3,3,3,1
68,0,0,1,945.3802928,2,0,0,0,1,0,4,0,9,3,0,1,0,79699.62,0,1,0,1,0,0,0,0,149.948316,0,0,0,3,7.109002592,1,0,0,1,0,1,2193,1,5,4,0,1,0,0,1,8.543717478,4,3,4,0
75,1,0,0,870.76398,3,1,1,1,0,0,3,1,15,4,1,0,0,28520.32,0,0,1,0,0,0,0,1,162.511928,1,0,1,4,13.74777955,0,0,1,0,0,1,9434,0,2,4,1,0,1,0,0,5.770390256,3,4,3,0
77,0,1,0,774.2937069,1,1,1,1,0,0,5,0,12,5,0,1,0,12558.83,1,0,0,0,0,0,1,0,92.455141,0,0,0,2,9.767668044,0,1,0,0,0,1,29568,0,4,4,0,0,1,0,0,4.157658837,4,4,4,0
47,1,0,0,1506.446527,1,1,0,1,0,0,4,1,15,4,1,0,0,8762.23,0,1,0,0,1,0,0,0,222.649979,0,0,1,3,15.8626095,0,0,0,0,1,1,3089,1,3,5,1,1,0,0,0,10.40566091,3,5,5,1
70,0,0,1,419.0508708,0,1,0,1,0,0,2,1,12,2,1,0,0,43882.72,0,0,1,0,0,0,0,1,139.981577,0,1,0,4,14.73616645,1,0,0,1,0,1,5652,1,4,2,0,1,0,0,0,1.392421597,2,3,2,0
20,0,0,1,1259.415493,3,1,2,0,1,0,4,1,13,2,1,0,0,10482.52,1,0,0,0,0,0,1,0,200.132293,0,0,0,2,13.43558029,0,1,0,0,0,1,1716,0,3,4,1,1,0,1,0,1.430386349,4,3,3,0
69,0,1,0,1745.125956,4,1,1,0,0,1,5,1,18,4,0,1,0,33442.79,1,0,0,0,0,1,0,0,257.651257,1,1,1,2,10.61771118,1,0,1,0,0,1,52484,0,3,5,1,1,1,0,0,5.425864884,4,4,4,0
45,0,0,1,1795.465729,9,0,0,0,0,1,3,0,14,2,0,1,0,43383.54,0,1,0,0,1,0,0,0,230.105118,0,1,0,3,6.613070806,1,0,1,0,0,0,11268,1,5,3,1,1,0,0,0,11.08287797,2,1,3,0
40,1,0,0,492.4771472,0,0,2,0,0,1,4,0,13,3,1,0,0,21793.88,0,0,1,0,0,1,0,0,147.489301,1,1,0,3,4.450171647,0,0,0,1,0,1,1765,0,3,2,0,0,1,0,1,3.586184954,3,4,2,0
82,1,0,0,1013.993166,6,1,0,1,0,0,3,0,9,5,1,0,0,51960.51,0,1,0,1,0,0,0,0,230.105118,0,1,0,2,8.774646693,1,0,0,1,0,1,680,1,5,5,1,1,1,0,0,4.727388465,4,4,4,0
74,1,0,0,2680.762173,5,1,1,1,0,0,4,0,8,1,0,1,0,25942.1,1,0,0,0,0,0,1,0,174.958118,1,1,1,5,11.13156721,0,0,0,1,0,1,136,0,3,3,0,1,0,0,0,20.89923386,5,4,5,1
69,0,0,1,1081.814362,4,1,1,0,1,0,5,1,15,5,0,1,0,11211.59,0,1,0,0,0,0,0,1,267.664655,1,0,1,2,5.540788887,0,0,0,0,1,1,1517,1,5,6,1,1,0,0,1,3.471329958,5,5,6,0
52,0,1,0,1209.961168,1,1,0,1,0,0,4,0,11,3,0,1,0,8283.29,1,0,0,0,0,1,0,0,162.483267,1,1,1,3,13.80362698,1,0,0,0,1,1,14103,1,4,3,0,0,0,0,1,5.478588204,2,3,4,1
26,0,1,0,897.5919144,2,1,1,1,0,0,5,1,16,5,1,0,0,10114.81,0,1,0,0,0,1,0,0,229.993134,1,1,1,2,16.31017089,1,0,1,0,0,1,6394,1,5,4,1,0,0,0,1,3.312991809,3,5,4,1
25,0,0,1,1340.930156,1,0,2,0,1,0,3,1,9,3,1,0,0,36229.21,1,0,0,0,0,1,0,0,140.00128,1,0,1,5,9.447065309,1,0,0,1,0,1,5059,1,2,3,0,0,1,0,0,7.161561527,6,4,5,0
66,0,1,0,1113.993679,1,0,1,0,0,1,4,0,12,5,1,0,0,25397.44,0,1,0,1,0,0,0,0,184.964681,0,1,1,2,16.84100845,0,0,1,0,0,1,20450,1,4,4,1,0,0,0,1,9.847563364,4,3,4,0
72,0,1,0,1530.10769,1,0,1,0,0,1,6,1,10,2,0,1,0,50336.5,0,1,0,1,0,0,0,0,147.473844,0,1,0,4,7.972937227,0,0,0,1,0,1,2123,1,6,4,0,0,0,0,0,16.04202196,4,3,3,1
21,0,0,1,1310.137419,3,0,1,1,0,0,4,1,12,4,1,0,0,38211.37,0,1,0,1,0,0,0,0,172.457857,0,1,0,3,11.42906608,1,0,0,0,1,1,1164,0,3,5,0,1,0,0,0,9.179779682,2,3,5,0
55,0,1,0,892.8964931,3,0,2,1,0,0,3,0,16,3,0,1,0,52887.26,1,0,0,0,1,0,0,0,107.481989,0,0,1,5,8.06137096,1,0,0,1,0,1,23,1,3,4,0,0,0,0,1,3.002844144,3,2,3,0
41,0,1,0,1125.581944,4,1,1,0,0,1,3,0,11,4,0,1,0,12003.33,0,1,0,1,0,0,0,0,255.141716,1,0,1,1,12.54780492,0,0,1,0,0,1,895,1,5,4,1,1,0,0,1,3.924254455,3,3,3,2
32,0,1,0,2016.710031,4,0,0,0,0,1,3,0,13,4,0,1,0,24090.62,0,1,0,0,0,1,0,0,192.456745,1,0,0,4,8.255565152,1,0,0,1,0,1,6699,1,3,3,1,0,1,0,1,18.55959629,3,3,3,0
22,1,0,0,1412.736809,0,1,0,0,0,1,3,0,6,4,1,0,0,15137.93,0,1,0,0,0,1,0,0,242.632554,1,0,1,3,13.156514,1,0,1,0,0,1,35743,1,4,4,1,1,0,0,0,8.798394712,4,4,4,0
44,0,0,1,1710.689671,2,1,1,1,0,0,5,1,5,2,1,0,0,54458.38,0,0,1,1,0,0,0,0,245.174977,1,1,1,4,10.58349704,1,0,0,1,0,1,320,1,2,3,1,1,1,0,0,10.377366,3,2,3,0
23,0,1,0,2384.885909,2,1,1,1,0,0,3,0,11,3,0,1,0,132116.33,0,1,0,1,0,0,0,0,184.964681,0,1,1,2,12.50184778,1,1,0,0,0,1,7870,1,2,4,1,0,0,0,1,22.25746016,4,5,4,0
43,0,1,0,1213.940165,3,1,1,1,0,0,4,1,11,3,1,0,0,37358.13,0,1,0,0,0,1,0,0,195.006206,1,1,1,3,9.750038902,1,0,1,0,0,1,861,0,4,3,0,0,0,1,1,9.427146079,5,3,4,0
86,1,0,0,740.010722,1,0,2,0,0,1,3,0,11,3,1,0,0,26534.16,0,0,1,0,0,0,1,0,104.962874,0,0,0,3,7.868660851,0,1,0,0,0,1,15364,1,2,3,0,1,0,0,0,7.760290062,4,3,3,2
84,0,1,0,897.9716153,2,0,0,1,0,0,3,0,14,4,1,0,0,76430.83,0,0,1,0,1,0,0,0,92.488023,0,0,0,5,12.43563329,1,0,0,1,0,1,2589,0,3,3,0,0,1,0,1,11.56938439,3,4,3,1
62,0,0,1,1026.387172,2,1,3,1,0,0,2,1,13,4,1,0,0,4662.37,1,0,0,0,0,0,1,0,184.979684,1,0,0,3,8.957166926,0,1,0,0,0,1,4901,1,4,5,1,0,0,0,1,3.343811019,2,3,2,0
68,0,0,1,1234.244324,5,1,1,1,0,0,3,1,12,2,1,0,0,43820.85,0,0,1,1,0,0,0,0,187.656013,0,0,0,4,8.015021713,1,0,1,0,0,1,39649,1,5,2,1,1,0,0,0,7.338869531,3,3,2,0
59,0,1,0,727.3731845,1,0,0,1,0,0,5,1,8,4,1,0,0,38391.55,0,1,0,0,0,1,0,0,149.962093,0,0,0,4,4.210347704,1,0,0,1,0,1,456,0,3,2,0,1,0,0,0,5.486534225,4,4,4,0
31,0,0,1,452.8721504,0,1,0,0,1,0,2,0,6,3,1,0,0,44137.6,0,1,0,0,0,0,1,0,169.944668,1,0,0,4,11.13960534,1,0,1,0,0,1,94,0,4,4,0,1,0,1,0,1.55278221,4,3,4,0
51,0,0,1,1296.674543,0,1,2,1,0,0,3,1,11,4,0,1,0,14364.65,0,1,0,0,0,0,0,1,160.00128,1,0,1,4,9.03738856,1,0,0,0,1,1,315,1,5,3,0,0,0,0,0,12.07970325,2,4,4,0
58,0,1,0,1840.628269,1,0,1,0,1,0,5,1,11,3,1,0,0,62359.91,1,0,0,0,0,0,1,0,129.962093,0,0,0,3,10.91594785,0,0,0,0,1,1,4969,0,6,4,0,1,0,0,0,13.98666226,4,3,3,1
73,0,1,0,1324.330108,1,1,0,1,0,0,5,0,11,4,0,1,0,82634.86,1,0,0,0,1,0,0,0,114.950905,0,1,0,3,8.387624096,1,0,0,1,0,1,46869,0,5,3,0,0,0,0,0,9.563362997,4,3,5,1
33,1,0,0,958.1397059,1,0,0,0,0,1,4,1,11,5,1,0,0,15690.25,0,0,1,0,0,0,0,1,142.515576,0,0,1,4,11.4487514,1,0,0,0,1,1,58431,0,5,4,1,0,0,0,1,6.732948946,5,5,4,1
58,0,1,0,1868.864027,1,1,2,0,0,1,5,0,15,4,0,1,0,14568.7,0,0,1,0,0,0,1,0,220.14775,1,0,0,4,10.22013704,1,0,1,0,0,1,26182,1,2,5,1,1,0,0,1,15.72071086,5,3,3,0
49,1,0,0,676.712908,0,0,1,0,0,1,5,1,9,4,1,0,0,29207.46,0,1,0,0,0,1,0,0,124.97808,0,0,0,4,8.425458142,1,0,0,1,0,1,694,0,4,5,0,0,0,0,0,7.233605493,5,3,5,0
26,0,1,0,1086.990308,1,0,1,0,1,0,4,0,12,4,1,0,0,55319.23,1,0,0,0,0,1,0,0,164.964681,0,1,1,3,8.386280619,1,0,0,0,1,1,3093,0,4,4,1,0,1,0,1,2.871017037,5,4,5,0
25,0,0,1,704.7540406,1,0,3,1,0,0,2,1,10,4,0,1,0,81831.49,0,1,0,0,0,0,0,1,194.976769,1,0,0,3,9.565924291,0,0,0,1,0,1,2765,1,2,4,0,1,0,0,1,2.344875382,4,3,3,0
42,1,0,0,1416.444695,0,1,3,1,0,0,4,0,14,4,1,0,0,100076.65,1,0,0,0,0,0,1,0,152.455519,0,1,1,3,10.79349982,1,0,0,0,1,1,3757,1,4,2,1,0,0,0,0,7.960490246,5,5,5,0
81,1,0,0,1095.950634,1,0,0,1,0,0,2,1,15,5,0,1,0,69965.65,0,0,1,0,0,0,0,1,92.5018,0,0,0,4,6.081975067,0,0,0,0,1,1,4938,0,3,3,0,0,1,0,0,12.25062113,5,5,5,0
43,0,1,0,1083.610268,1,0,0,1,0,0,3,1,13,3,1,0,0,34883.69,0,0,1,1,0,0,0,0,127.488728,0,0,0,4,13.55065547,1,0,0,1,0,1,3761,0,3,4,1,0,1,1,0,9.634946079,4,4,4,0
63,0,0,1,1570.641337,2,0,1,0,0,1,4,1,14,3,0,1,0,45634.2,1,0,0,0,0,1,0,0,184.963371,1,1,0,4,9.470419821,0,1,0,0,0,1,1851,1,3,4,0,1,0,0,0,7.916533093,4,3,3,0
70,0,1,0,1007.425553,3,1,0,1,0,0,3,1,11,3,1,0,0,10964.73,0,1,0,0,1,0,0,0,265.146969,1,0,0,4,6.194985909,1,1,0,0,0,1,38476,1,4,3,1,1,0,0,1,4.471254161,3,2,3,1
78,0,0,1,1323.028419,1,1,1,1,0,0,7,0,19,4,0,1,0,22365.28,0,1,0,0,0,0,0,1,207.609354,0,0,0,2,10.80393657,0,1,0,0,0,1,13547,0,6,5,1,1,0,0,0,10.79028074,4,3,4,0
48,0,0,1,1808.730555,0,0,0,1,0,0,2,0,17,1,0,1,0,52636.6,1,0,0,0,0,0,1,0,152.462354,1,0,1,5,7.903964267,0,0,0,1,0,1,7801,1,2,2,0,1,1,0,0,12.24190682,1,2,3,1
63,0,1,0,1120.241472,1,1,2,1,0,0,4,1,18,3,1,0,0,19048.13,1,0,0,0,0,0,1,0,200.132293,0,0,0,4,11.27443693,1,0,1,0,0,1,17823,1,5,4,1,1,0,1,0,2.203859443,4,4,4,1
60,0,0,1,2676.789803,4,1,0,0,1,0,5,0,12,5,1,0,0,42784.82,0,0,1,0,1,0,0,0,212.655686,0,1,1,3,6.129509309,0,0,0,1,0,1,20269,1,5,7,1,1,1,0,1,23.92132231,5,6,5,0
87,1,0,0,1268.086909,0,1,0,0,1,0,5,0,17,4,0,1,0,77996.88,1,0,0,1,0,0,0,0,255.119794,1,1,0,4,7.969277912,1,1,0,0,0,1,30225,1,5,3,1,1,0,1,1,3.7311787,3,4,3,0
54,0,1,0,822.6771666,3,0,0,0,0,1,2,0,9,3,1,0,0,47507.3,0,1,0,0,1,0,0,0,134.950905,0,1,0,5,4.368120492,1,1,0,0,0,1,5760,1,3,2,0,0,0,0,0,7.980015371,3,3,2,0
35,0,0,1,1577.915603,3,1,0,1,0,0,3,1,9,4,0,1,0,7724.73,0,1,0,1,0,0,0,0,255.137219,0,1,0,3,6.258356398,1,0,0,1,0,1,61,1,3,3,1,1,0,0,1,9.190009376,3,2,4,1
70,0,0,1,648.7471776,1,1,0,1,0,0,4,1,16,4,0,1,0,1509.52,0,1,0,0,0,1,0,0,214.966286,1,1,0,2,12.92303286,0,1,0,0,0,1,34359,0,5,3,1,0,0,0,0,2.378630018,4,4,4,0
67,1,0,0,1648.102673,2,1,0,0,1,0,3,1,13,4,1,0,0,81124.71,1,0,0,0,1,0,0,0,270.160419,1,1,1,5,12.43301273,1,0,0,1,0,1,24693,1,3,3,1,1,1,0,1,5.43464555,3,4,3,0
46,1,0,0,768.0874545,4,1,0,0,0,1,3,1,11,2,1,0,0,11795.57,0,0,1,0,0,0,0,1,200.165175,0,0,0,3,7.607663559,1,0,0,1,0,0,4235,0,2,1,1,1,0,0,1,1.092361222,1,2,1,0
50,0,0,1,2426.030626,1,0,2,0,0,1,4,0,10,4,0,1,0,74794.84,1,0,0,0,0,1,0,0,149.937833,0,1,0,3,7.442789019,0,1,0,0,0,1,2193,0,4,3,1,0,0,0,0,20.13981517,2,3,2,1
24,1,0,0,2660.503932,1,1,1,1,0,0,3,0,18,3,1,0,0,19038.78,0,1,0,0,0,1,0,0,240.114868,1,0,0,4,13.04429298,1,0,0,0,1,1,273,0,1,4,1,1,1,0,0,24.64873861,4,5,4,0
20,1,0,0,1129.549713,0,0,0,1,0,0,3,1,17,3,0,1,0,79167.77,0,1,0,1,0,0,0,0,127.495766,0,0,1,5,14.89762162,1,0,1,0,0,1,14557,0,4,4,0,0,1,0,0,9.677739656,4,3,3,0
29,0,0,1,1771.286466,1,1,2,0,1,0,3,0,13,4,1,0,0,37428.26,1,0,0,0,1,0,0,0,187.609354,0,0,0,5,13.79387475,0,0,0,1,0,1,17653,1,2,3,1,1,0,0,0,9.82814183,4,3,3,1
31,1,0,0,943.3391244,0,0,1,1,0,0,4,1,6,4,0,1,0,45148.38,0,1,0,1,0,0,0,0,169.992756,1,0,0,4,15.66367593,0,0,1,0,0,1,285,1,4,3,0,0,0,1,1,7.832238337,3,3,3,0
72,0,0,1,1907.226083,5,0,3,0,0,1,4,0,13,4,1,0,0,74855.47,0,1,0,0,0,0,1,0,192.456745,1,0,0,1,8.513410306,0,0,0,0,1,1,320,1,3,5,1,0,0,0,1,19.45250317,4,4,4,0
71,0,0,1,1885.939118,4,0,1,1,0,0,2,1,10,5,0,1,0,45323.86,1,0,0,1,0,0,0,0,120.004928,0,0,1,4,8.265002035,1,0,1,0,0,1,2863,0,3,3,0,0,1,0,1,14.34766616,4,3,4,0
32,0,1,0,631.7435653,2,0,0,0,1,0,5,1,11,2,1,0,0,71596.14,0,1,0,1,0,0,0,0,195.006206,1,1,1,3,8.6026551,0,1,0,0,0,1,1206,1,5,3,0,0,0,0,1,2.257358355,3,5,5,0
33,1,0,0,562.6095219,0,0,1,0,1,0,3,0,15,6,0,1,0,10389.95,0,1,0,0,0,1,0,0,139.95684,0,0,1,3,6.03993035,1,0,1,0,0,1,35279,0,3,4,0,1,0,0,0,2.358129018,3,4,3,0
67,0,1,0,593.8572264,3,0,3,1,0,0,2,0,12,3,0,1,0,19657.14,0,0,1,0,0,0,0,1,114.983787,0,1,0,5,14.6040829,1,1,0,0,0,1,1049,0,2,4,0,0,0,1,1,4.650578623,3,2,3,0
66,0,1,0,777.3060718,0,1,1,1,0,0,3,0,13,3,1,0,0,27827.03,0,0,1,1,0,0,0,0,207.638588,1,0,0,1,7.274007029,0,0,0,1,0,1,32203,1,6,4,1,1,0,0,0,3.721772616,3,3,4,1
21,1,0,0,1393.202392,4,1,4,1,0,0,3,0,12,5,1,0,0,15609.05,1,0,0,0,0,0,1,0,187.609354,0,0,0,3,8.913898759,1,0,0,1,0,1,25576,1,3,3,1,1,0,0,0,3.76663012,4,4,4,0
61,0,0,1,393.6524652,0,0,0,0,1,0,5,0,13,4,1,0,0,19815.63,0,1,0,0,0,1,0,0,134.950905,0,1,0,3,11.59313893,1,1,0,0,0,1,319,1,4,4,0,0,1,0,0,4.151256695,2,3,3,2
75,1,0,0,409.7486664,0,1,0,1,0,0,3,1,13,3,1,0,0,58482.9,0,1,0,0,0,0,1,0,192.470522,1,0,0,3,8.294186076,1,0,0,0,1,1,55519,0,3,4,1,0,0,0,0,2.188918771,3,3,3,0
63,0,0,1,2138.107161,0,1,1,1,0,0,2,1,9,4,1,0,0,41656.53,1,0,0,0,0,0,0,1,222.628057,0,1,0,4,15.19664016,1,0,0,0,1,0,15210,1,2,3,1,1,1,0,0,13.85488928,2,3,3,0
68,0,1,0,443.984031,0,0,1,0,0,1,4,0,3,3,1,0,0,115510.46,0,1,0,0,0,0,1,0,162.468917,0,0,1,3,5.083995994,1,0,0,1,0,1,3499,1,4,3,1,0,0,0,1,3.273341151,2,2,2,0
32,0,1,0,2481.385603,2,1,1,0,0,1,3,1,7,3,0,1,0,15841.19,1,0,0,0,0,1,0,0,159.979358,1,1,0,3,6.942719201,0,0,0,1,0,1,14479,1,3,3,0,0,0,0,0,19.75096265,2,3,2,1
76,0,1,0,2233.567181,0,0,1,0,0,1,5,1,7,3,0,1,0,81127.41,1,0,0,0,0,1,0,0,184.979684,1,0,0,2,9.834012571,1,0,0,0,1,1,4654,0,4,4,1,0,1,0,1,18.38404445,2,3,3,0
29,0,1,0,1158.91369,0,1,0,1,0,0,5,1,13,4,1,0,0,24270.88,0,1,0,1,0,0,0,0,245.145743,0,1,1,1,11.0596826,1,0,1,0,0,1,26320,0,5,5,1,1,0,0,0,4.672610857,5,4,5,0
83,1,0,0,529.40733,0,0,0,1,0,0,3,1,17,4,1,0,0,54466.33,0,1,0,0,1,0,0,0,124.97808,0,0,0,2,8.834079073,0,0,0,1,0,1,35,0,3,4,0,0,0,0,0,6.796299371,4,4,4,1
23,0,1,0,1956.7337,10,1,1,1,0,0,3,1,14,2,0,1,0,64816.84,0,1,0,1,0,0,0,0,187.484705,0,1,1,3,5.271228601,0,0,0,0,1,1,521,0,4,2,0,1,0,0,1,12.97632235,2,2,3,1
80,1,0,0,2056.386979,5,0,1,1,0,0,5,1,15,5,0,1,0,103311.26,0,1,0,0,0,1,0,0,162.500692,0,1,1,4,9.394961367,1,0,0,0,1,1,17600,0,3,4,0,0,0,0,1,20.31163945,4,4,5,0
20,0,1,0,1067.373076,0,0,1,0,1,0,6,1,11,6,0,1,0,40211.04,0,1,0,0,0,1,0,0,182.467607,1,0,0,2,14.4754365,1,0,0,1,0,1,3324,0,5,6,0,1,0,0,0,6.998814446,4,3,3,1
69,0,0,1,1806.135733,0,1,1,1,0,0,4,1,12,3,0,1,0,58077.38,0,0,1,0,0,0,1,0,222.660939,0,1,0,3,10.68311773,1,0,1,0,0,0,55122,0,5,4,1,1,0,0,1,14.46288204,2,3,3,1
32,0,0,1,1397.701335,1,0,1,0,1,0,2,1,10,3,0,1,0,43466.35,0,1,0,0,0,1,0,0,182.467607,1,0,0,3,13.79409442,1,1,0,0,0,1,4038,0,4,4,0,1,0,0,0,11.13472066,4,4,3,0
53,0,0,1,808.4305471,0,1,1,1,0,0,5,1,19,3,1,0,0,23289.77,0,0,1,1,0,0,0,0,220.161527,1,0,0,3,12.40165307,1,0,0,0,1,1,31927,0,2,3,1,1,1,0,0,2.542296644,4,3,2,0
25,1,0,0,1886.531937,2,0,1,0,0,1,3,0,9,4,0,1,0,49158.49,0,1,0,0,0,0,1,0,169.937833,0,1,0,3,10.24782033,1,0,0,1,0,1,19904,0,4,3,1,0,0,0,0,17.22596021,4,3,4,0
