Age,Area_Rural,Area_Suburban,Area_Urban,Children,Churn_Yes,Contacts,Contract_Month_To_Month,Contract_One_Year,Contract_Two_Year,CourteousExchange,Deviceprotection_Yes,Email,EvidenceOfActiveListening,Gender_Female,Gender_Male,Gender_Nonbinary,Income,Internetservice_Dsl,Internetservice_Fiber_Optic,Internetservice_None,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,MonthlyCharge,Multiple_Yes,Onlinebackup_Yes,Onlinesecurity_Yes,Options,Outage_Sec_Perweek,Paperlessbilling_Yes,Paymentmethod_Bank_Transfer(Automatic),Paymentmethod_Credit_Card_(Automatic),Paymentmethod_Electronic_Check,Paymentmethod_Mailed_Check,Phone_Yes,Population,Port_Modem_Yes,Reliability,RespectfulResponse,Streamingmovies_Yes,Streamingtv_Yes,Tablet_Yes,Techie_Yes,Techsupport_Yes,Tenure,TimelyFixes,TimelyReplacements,TimelyResponse,Yearly_Equip_Failure,Bandwidth_GB_Year
42,0,1,0,1,0,1,0,1,0,3,0,13,3,0,0,1,11472.98,0,1,0,0,0,0,0,1,139.9568,0,0,1,2,8.031817,1,0,1,0,0,1,9162,0,4,3,0,1,1,0,0,66.68553,3,4,3,0,5748.620529
62,1,0,0,3,0,1,0,1,0,3,0,10,3,0,1,0,17495.04,0,1,0,0,0,0,0,1,207.6094,0,0,0,5,11.71658,1,0,0,1,0,0,8156,1,1,3,1,1,0,1,0,55.55389,4,3,3,1,5104.889837
23,1,0,0,1,1,1,1,0,0,5,0,15,3,0,1,0,1817.99,1,0,0,0,0,1,0,0,162.4833,1,1,1,2,9.617616,0,0,0,1,0,0,32363,1,4,5,0,0,0,0,1,8.915226,4,3,4,0,1586.632329
21,1,0,0,0,0,2,0,0,1,4,0,11,2,0,1,0,49614.23,1,0,0,0,0,1,0,0,137.4698,1,0,0,4,6.244054,1,0,0,1,0,1,312,1,3,3,0,0,0,0,1,3.033303,3,4,3,1,911.2594992
31,1,0,0,4,0,0,1,0,0,5,0,15,4,1,0,0,15481.45,1,0,0,0,1,0,0,0,194.9525,1,1,0,3,7.750073,0,0,0,1,0,1,827,0,3,5,1,0,1,0,1,71.32292,5,6,5,0,6768.49967
38,0,0,1,0,1,0,1,0,0,5,1,9,4,0,1,0,66409.47,0,1,0,0,0,0,1,0,159.965,0,0,0,3,7.716619,1,0,0,0,1,1,3150,1,3,4,1,0,0,1,0,1.865935,4,4,3,0,514.9287886
70,0,0,1,2,1,3,1,0,0,5,0,6,3,1,0,0,6119.53,0,0,1,1,0,0,0,0,104.9629,0,0,0,1,9.411397,0,1,0,0,0,1,5450,1,4,4,0,1,0,0,0,1.31809,3,3,2,1,295.3935883
20,1,0,0,0,1,0,0,0,1,3,0,5,4,1,0,0,99100.1,1,0,0,0,0,0,0,1,222.61428,0,1,0,5,9.908849616,0,0,1,0,0,1,41000,0,4,3,1,1,1,0,1,9.26064585,4,3,3,0,1821.82345
18,1,0,0,7,1,2,1,0,0,6,0,16,4,0,0,1,28911.74,0,1,0,0,0,0,1,0,230.1051,0,1,0,2,7.731174,1,0,0,1,0,1,61,0,4,4,1,1,0,0,0,7.146126,3,4,4,0,1413.736327
35,0,1,0,3,0,0,0,1,0,3,0,13,3,0,1,0,25653.34,0,1,0,1,0,0,0,0,230.1051,0,1,0,4,8.759585,1,0,0,1,0,1,14823,1,2,3,1,1,0,1,0,40.14232,2,2,4,0,4024.612201
27,1,0,0,0,0,2,1,0,0,4,0,7,2,0,1,0,29935.05,1,0,0,0,1,0,0,0,92.45514,0,0,0,4,9.663191,1,1,0,0,0,1,16882,1,2,4,0,0,1,0,0,59.52332,3,2,2,0,5443.98404
73,0,0,1,2,0,0,1,0,0,3,0,13,3,0,1,0,8091.21,0,0,1,1,0,0,0,0,117.472,0,0,0,3,9.335603,0,0,0,1,0,1,9777,0,3,3,0,1,0,0,1,2.924951,4,3,3,0,468.5975061
63,0,0,1,1,0,0,1,0,0,2,1,9,3,1,0,0,23662.64,0,1,0,0,0,1,0,0,192.4885,1,1,0,4,4.615568,0,1,0,0,0,1,37527,1,4,1,0,0,1,0,1,48.57121,2,2,2,0,4218.975069
77,1,0,0,1,0,4,1,0,0,2,1,11,3,0,0,1,65565.99,1,0,0,0,0,0,1,0,159.9794,1,1,0,4,7.291285,0,0,1,0,0,0,728,1,4,2,0,0,1,0,0,47.45044,3,3,3,0,4486.582949
45,0,0,1,2,1,0,1,0,0,2,1,16,4,0,1,0,31766.78,0,0,1,0,1,0,0,0,182.490006,1,1,0,3,14.18102134,1,0,0,1,0,1,48133,1,1,2,1,0,1,0,0,2.389328443,4,3,4,1,762.3743815
81,0,1,0,4,1,1,0,0,1,3,1,10,2,1,0,0,38866.92,0,1,0,0,0,0,1,0,242.628057,0,1,0,3,12.19296315,0,1,0,0,0,1,955,0,3,2,1,1,0,0,0,4.806882153,4,3,3,1,1047.361909
80,0,0,1,4,0,1,1,0,0,4,0,11,4,0,1,0,46786.18,0,0,1,0,0,1,0,0,112.484375,1,0,0,4,10.0934549,1,0,0,1,0,1,1152,1,4,5,0,0,0,0,0,3.613513424,4,4,3,1,470.682278
75,0,0,1,4,0,0,1,0,0,3,0,10,5,1,0,0,17766.54,0,1,0,0,0,0,0,1,232.6228,0,1,1,4,9.481086,0,0,1,0,0,1,641,1,3,3,1,1,0,0,0,53.06256,5,3,4,0,5011.057255
86,0,0,1,0,0,2,0,1,0,5,1,10,3,0,1,0,40316.05,0,1,0,0,0,1,0,0,184.967,0,1,0,2,15.35399,1,0,1,0,0,1,49344,0,4,5,0,1,0,1,1,3.628867,4,4,4,0,601.2192303
82,1,0,0,4,0,2,1,0,0,5,1,12,5,0,1,0,76066.77,0,0,1,0,0,0,1,0,139.981577,0,1,0,4,15.27146446,0,0,0,1,0,1,4926,0,4,3,0,1,0,0,0,18.35541838,3,4,3,1,1939.811149
66,1,0,0,0,0,2,0,1,0,4,1,13,4,0,1,0,83878.86,0,0,1,0,0,0,0,1,117.4858,0,0,0,3,11.05579,0,0,0,1,0,0,4193,0,3,4,0,1,0,1,0,66.8244,4,4,4,0,5746.58453
88,1,0,0,1,0,0,0,0,1,4,0,14,5,1,0,0,30819.18,1,0,0,0,0,0,0,1,124.9607,1,0,0,3,9.525285,1,0,0,1,0,1,680,1,4,5,0,0,0,1,0,69.87194,5,3,3,3,6112.379667
45,0,0,1,0,0,1,1,0,0,4,1,17,3,0,1,0,35183.0,0,1,0,0,0,0,0,1,217.4725,1,1,0,3,15.54947,1,0,0,0,1,1,54101,0,4,4,0,1,0,0,1,56.00686,3,4,3,0,5099.333841
53,0,1,0,0,0,1,1,0,0,2,1,11,3,0,1,0,26092.38,0,0,1,0,0,0,1,0,114.9976,0,1,0,5,13.70512,1,1,0,0,0,1,375,1,2,2,0,0,0,0,0,8.931572,4,2,3,0,979.002185
37,1,0,0,3,1,3,1,0,0,3,0,15,3,1,0,0,39369.75,0,1,0,0,0,0,1,0,182.4538,1,0,0,3,10.85287,1,0,0,0,1,1,1589,1,4,3,0,1,0,0,1,11.16386,3,3,4,0,1317.388693
25,0,0,1,4,1,1,1,0,0,4,0,13,6,0,1,0,50670.27,1,0,0,1,0,0,0,0,142.452604,0,1,1,5,12.69180844,0,1,0,0,0,1,1823,0,3,3,0,1,0,0,0,20.96092159,4,4,4,0,2743.734408
71,0,0,1,7,1,1,0,0,1,1,0,13,2,1,0,0,3360.57,0,1,0,0,1,0,0,0,262.6106,1,1,0,5,10.40927,1,0,1,0,0,1,345,0,2,2,1,1,0,1,0,16.53338,5,3,4,0,2120.151113
84,0,0,1,0,0,0,1,0,0,3,1,12,4,1,0,0,17260.93,0,0,1,0,0,0,0,1,147.5031,1,1,0,5,10.47784,1,1,0,0,0,1,44759,1,3,4,0,0,0,0,0,38.58318,4,4,5,1,3296.618156
38,1,0,0,0,1,0,1,0,0,3,0,15,6,0,1,0,26986.49,1,0,0,0,0,0,1,0,127.4783,1,0,1,4,11.34716,0,0,0,0,1,1,1639,1,4,4,0,0,0,1,0,11.59206,3,4,3,0,1627.688937
36,0,1,0,0,1,2,0,0,1,4,1,13,4,1,0,0,21092.07,0,1,0,0,0,0,0,1,232.6415,0,0,0,3,5.676999,1,1,0,0,0,1,8684,0,3,4,1,1,0,0,1,6.999666,4,4,5,0,1161.766944
45,0,1,0,5,0,0,1,0,0,3,0,11,3,0,1,0,49397.39,0,1,0,1,0,0,0,0,127.482,0,0,1,3,11.74755,1,0,0,1,0,1,1748,0,5,3,0,0,0,0,1,55.34066,3,2,2,1,4862.205431
38,0,0,1,1,0,2,0,0,1,1,1,14,4,1,0,0,52374.17,0,1,0,0,1,0,0,0,252.6378,1,0,0,4,12.83511,1,0,0,0,1,1,2192,0,4,3,1,1,0,0,0,6.652608,3,3,3,1,1225.184798
68,1,0,0,1,0,0,0,0,1,2,1,13,4,1,0,0,67871.48,0,1,0,0,0,0,0,1,195.0062,1,1,1,3,5.625045,0,0,0,0,1,1,458,1,4,3,0,0,0,0,1,56.74758,4,5,3,0,4947.739322
47,0,0,1,9,0,2,1,0,0,2,1,12,4,1,0,0,31344.35,0,1,0,0,0,1,0,0,184.9785,0,1,1,4,13.87639,0,0,0,1,0,1,14559,1,3,2,1,0,0,0,0,69.5048,3,4,4,0,6391.573253
87,0,0,1,0,0,1,0,1,0,2,1,11,2,0,1,0,4523.8,1,0,0,1,0,0,0,0,127.473844,0,1,0,5,13.69110294,1,0,0,1,0,1,36202,0,3,3,0,0,0,0,0,15.59096202,3,3,4,0,1826.678884
52,0,0,1,0,0,2,1,0,0,4,0,14,5,0,1,0,110391.6,0,1,0,1,0,0,0,0,179.9656,1,1,0,2,5.193206,0,1,0,0,0,1,756,1,4,4,0,0,0,0,1,66.30503,4,3,4,0,5674.466677
36,0,1,0,7,1,1,1,0,0,4,0,15,6,0,1,0,12145.97,0,1,0,0,0,0,1,0,240.114868,1,0,0,3,7.275899757,1,0,0,0,1,1,18579,0,5,5,1,1,0,0,0,12.84120976,3,4,4,0,1885.438773
78,0,0,1,2,1,0,1,0,0,2,0,11,4,1,0,0,65564.74,0,1,0,1,0,0,0,0,230.1051,0,1,0,3,6.33742,1,0,0,1,0,1,517,1,4,4,1,1,0,1,0,13.21733,4,4,3,1,1599.616413
34,0,0,1,1,1,0,1,0,0,4,0,14,6,0,0,1,18762.01,0,0,1,0,0,0,1,0,212.655686,0,1,1,4,12.017333,0,0,0,0,1,1,5467,1,6,4,1,1,0,0,1,5.261212465,3,4,4,1,1101.650764
26,1,0,0,3,1,2,1,0,0,4,1,12,2,1,0,0,113438.3,1,0,0,0,0,0,0,1,159.9794,1,1,0,4,5.050186,0,0,0,0,1,1,49350,1,3,3,0,0,1,1,0,6.981941,4,4,4,0,1403.290023
39,0,1,0,1,0,2,1,0,0,4,1,9,2,0,1,0,119599.4,0,1,0,0,1,0,0,0,184.9785,0,1,1,3,4.876124,0,0,0,0,1,1,2649,1,4,3,1,0,0,1,0,38.92029,3,3,2,0,3747.78242
85,1,0,0,4,0,2,0,0,1,4,0,9,4,0,1,0,51630.71,0,1,0,0,1,0,0,0,255.1417,1,0,1,3,4.452995,1,0,1,0,0,1,2377,0,3,4,1,1,0,0,1,41.36314,4,3,3,1,4048.983361
22,1,0,0,4,0,2,0,0,1,4,0,11,4,0,1,0,26278.08,0,0,1,0,0,0,0,1,149.9776,1,0,0,3,11.43714,0,0,0,0,1,1,130,0,4,2,0,1,0,0,1,40.35276,4,4,4,1,3836.081698
24,0,1,0,0,0,1,1,0,0,3,0,14,4,0,1,0,41699.57,1,0,0,0,0,1,0,0,124.9607,1,0,0,4,7.956304,0,0,0,1,0,1,37727,1,4,4,0,0,0,0,0,49.94733,3,3,4,0,4741.134235
23,0,1,0,4,0,0,0,0,1,5,1,14,5,0,1,0,44610.48,0,1,0,0,1,0,0,0,194.969934,0,1,0,2,8.965640601,0,0,0,1,0,1,222,1,3,3,1,0,1,1,1,16.15614223,4,5,3,1,1956.469091
66,1,0,0,2,0,3,0,0,1,2,0,11,4,1,0,0,66778.9,1,0,0,0,0,1,0,0,212.6228,0,1,1,3,15.95744,0,0,0,1,0,1,444,0,4,4,1,1,0,0,0,70.79968,4,4,3,2,6845.831296
77,0,1,0,1,1,1,1,0,0,5,0,12,5,0,1,0,12558.83,1,0,0,0,0,0,1,0,92.455141,0,0,0,2,9.767668044,0,1,0,0,0,1,29568,0,4,4,0,0,1,0,0,4.157658837,4,4,4,0,774.2937069
89,0,0,1,1,0,1,0,1,0,2,1,10,3,0,1,0,13219.33,0,1,0,0,0,0,0,1,265.147,1,0,0,3,5.341231,1,0,0,1,0,1,1312,1,4,3,1,1,0,0,1,49.61909,4,3,3,0,4629.932238
23,1,0,0,1,0,1,1,0,0,4,0,10,3,0,1,0,8626.93,0,1,0,0,1,0,0,0,172.4624,1,0,1,5,13.16243,0,1,0,0,0,1,36172,1,4,3,0,1,0,0,0,8.333131,2,3,3,0,1187.710162
24,0,0,1,4,0,2,0,0,1,1,0,14,3,0,1,0,29303.95,1,0,0,0,0,0,0,1,174.9581,1,1,1,5,3.929938,1,1,0,0,0,1,245,0,3,2,0,1,0,0,0,5.648594,2,2,3,0,1564.304827
38,0,0,1,0,0,1,0,1,0,4,1,11,3,1,0,0,31980.81,0,1,0,0,0,0,1,0,184.978458,0,1,1,3,12.236238,1,0,0,1,0,1,3519,1,3,2,1,0,1,0,0,2.685677496,2,4,4,0,669.0040793
66,0,0,1,3,0,0,1,0,0,4,0,13,4,0,1,0,23005.6,1,0,0,0,0,0,0,1,162.447,0,1,0,4,12.13544,1,0,1,0,0,1,4800,1,3,3,1,0,0,0,1,64.2738,2,3,3,1,6055.708509
47,0,0,1,4,0,2,1,0,0,3,1,12,3,0,1,0,16834.95,0,1,0,0,1,0,0,0,179.9794,1,1,0,5,7.739197,0,1,0,0,0,1,2674,0,4,3,0,0,0,0,0,66.49538,3,3,3,1,5910.417848
71,0,0,1,2,1,0,1,0,0,4,0,13,4,0,1,0,20191.76,0,1,0,0,0,0,0,1,240.114868,1,0,0,4,9.741346714,1,1,0,0,0,1,11528,1,3,5,1,1,1,0,0,2.566196093,4,4,4,1,774.8506663
84,0,0,1,6,0,2,1,0,0,3,0,12,4,1,0,0,32666.7,0,1,0,0,0,1,0,0,112.4551,0,0,0,4,9.020394,1,0,0,0,1,1,3089,1,2,3,0,0,1,0,0,59.33259,4,3,3,0,4930.400921
49,0,0,1,6,0,1,1,0,0,3,1,15,5,0,1,0,48414.97,1,0,0,0,0,1,0,0,140.0013,1,0,1,2,12.9317,1,0,1,0,0,1,10873,1,4,3,0,0,1,0,0,17.84058,2,2,3,0,2373.467756
37,1,0,0,2,1,3,1,0,0,4,1,12,4,0,1,0,19872.48,0,1,0,1,0,0,0,0,255.1372,0,1,0,4,9.445157,1,1,0,0,0,1,23021,1,4,3,1,1,0,0,1,56.31481,3,2,3,0,5401.877883
19,1,0,0,10,0,1,1,0,0,5,1,16,2,1,0,0,23299.98,0,0,1,0,0,0,1,0,129.994975,0,0,0,2,10.09307939,1,0,0,1,0,1,35349,1,4,4,0,1,1,0,1,23.956929,3,3,3,1,2653.32821
74,1,0,0,2,0,0,1,0,0,2,0,8,3,0,1,0,57552.27,0,0,1,0,1,0,0,0,172.4848,1,1,1,4,13.07187,1,1,0,0,0,1,62382,1,2,3,1,0,1,0,0,23.08359,5,3,4,2,2352.994051
52,0,0,1,1,0,0,1,0,0,4,0,16,1,0,1,0,76765.17,0,1,0,0,0,1,0,0,159.9512,0,0,0,2,10.32391,0,1,0,0,0,1,285,0,4,4,1,0,1,0,1,10.35635,3,3,4,0,1114.676099
82,0,1,0,3,0,2,0,0,1,3,1,13,3,0,1,0,42113.14,0,0,1,0,0,1,0,0,105.011,0,0,0,3,13.50203,1,0,0,1,0,1,718,1,3,5,0,0,0,1,1,66.65664,3,3,4,2,5616.475997
33,0,0,1,0,0,1,0,0,1,4,1,11,4,1,0,0,49464.15,1,0,0,0,0,0,1,0,172.4705,1,0,0,4,6.32828,1,0,1,0,0,1,4667,0,4,4,1,0,1,0,0,64.59012,3,3,4,0,6073.965344
39,0,1,0,4,1,0,1,0,0,3,1,14,4,1,0,0,43769.45,0,0,1,0,0,0,0,1,172.4871,1,1,0,3,10.21531,0,1,0,0,0,1,1085,1,4,3,0,1,0,0,0,18.07558,3,4,4,0,2082.760575
65,0,1,0,2,0,1,1,0,0,3,1,15,3,1,0,0,42345.21,1,0,0,1,0,0,0,0,172.4705,1,0,0,3,11.69747,1,0,1,0,0,1,1751,1,4,2,1,0,0,0,0,70.56628,2,3,3,0,6520.292051
63,0,1,0,1,0,1,0,0,1,3,0,11,4,1,0,0,25985.06,0,1,0,0,0,1,0,0,149.959755,0,0,1,4,9.497106973,0,0,0,0,1,1,47974,0,4,4,1,0,1,0,0,18.17247008,3,3,3,0,1707.641161
55,0,0,1,1,0,0,1,0,0,3,1,20,3,0,1,0,10941.91,0,1,0,1,0,0,0,0,204.9797,1,0,0,4,15.24882,1,0,0,0,1,1,13977,1,4,3,1,0,0,0,1,69.32507,3,3,3,0,6093.707012
65,1,0,0,0,1,2,1,0,0,3,0,12,4,1,0,0,28056.39,1,0,0,1,0,0,0,0,200.118516,0,0,0,4,7.637291768,1,0,0,0,1,1,92,0,5,3,1,1,0,0,1,19.76529476,4,3,4,0,2441.022927
72,0,1,0,1,0,1,0,0,1,6,1,10,2,0,1,0,50336.5,0,1,0,1,0,0,0,0,147.473844,0,1,0,4,7.972937227,0,0,0,1,0,1,2123,1,6,4,0,0,0,0,0,16.04202196,4,3,3,1,1530.10769
18,1,0,0,1,0,1,0,0,1,4,0,15,4,1,0,0,34786.58,1,0,0,0,0,0,1,0,162.4833,1,1,1,2,10.76073,1,0,0,1,0,1,640,1,5,3,0,0,1,0,1,49.26311,2,3,2,0,4826.758437
74,0,0,1,6,0,0,0,1,0,4,1,14,4,1,0,0,72862.83,0,0,1,0,0,1,0,0,129.995,0,0,0,5,13.29232,0,0,1,0,0,1,3708,1,2,4,0,1,0,0,1,5.317775,3,2,3,1,822.6124438
65,0,1,0,2,0,0,1,0,0,3,1,9,2,0,1,0,64281.28,1,0,0,0,1,0,0,0,137.4836,1,0,0,4,5.201543,1,0,1,0,0,1,26863,1,4,3,0,0,1,0,0,63.47674,3,3,3,1,5861.996544
77,0,1,0,4,0,1,1,0,0,3,1,11,4,1,0,0,44323.22,0,0,1,0,0,0,0,1,149.9845,0,1,0,5,13.18074,1,0,1,0,0,1,2683,0,2,1,1,0,0,0,0,69.96694,3,3,3,0,6101.954062
26,0,1,0,0,0,0,1,0,0,3,0,11,2,0,1,0,41879.1,1,0,0,1,0,0,0,0,117.439154,0,0,0,4,12.29165611,0,1,0,0,0,1,703,1,3,3,0,1,0,0,0,12.75609778,3,3,3,1,1775.838153
26,0,1,0,2,0,0,0,0,1,4,0,11,3,0,0,1,14345.87,0,1,0,0,0,1,0,0,159.9349,0,1,0,3,7.484153,0,0,0,1,0,1,14802,0,4,3,0,1,1,0,0,21.52164,3,4,4,1,2150.01852
31,0,1,0,0,0,0,0,0,1,4,1,16,4,1,0,0,37772.16,0,1,0,0,0,0,1,0,157.483594,1,0,0,4,13.09411393,0,0,0,1,0,1,198,1,2,3,0,0,1,0,0,8.458573247,4,4,4,1,908.0504522
86,1,0,0,1,1,1,1,0,0,4,1,12,3,0,1,0,26071.16,1,0,0,0,0,0,0,1,200.1323,0,0,0,4,7.630385,0,0,1,0,0,1,617,1,3,3,1,1,0,0,0,6.081227,2,2,2,1,1409.589822
28,1,0,0,0,0,3,1,0,0,5,0,11,4,1,0,0,18305.22,1,0,0,0,0,0,0,1,162.4653,1,0,1,6,9.316164,1,0,0,0,1,1,4841,0,3,6,1,0,0,0,0,61.45615,4,4,5,0,5823.6249
23,0,1,0,2,1,1,1,0,0,3,0,11,3,0,1,0,132116.33,0,1,0,1,0,0,0,0,184.964681,0,1,1,2,12.50184778,1,1,0,0,0,1,7870,1,2,4,1,0,0,0,1,22.25746016,4,5,4,0,2384.885909
82,0,0,1,2,0,3,0,0,1,5,1,17,5,0,1,0,102504.9,1,0,0,0,1,0,0,0,142.4713,0,0,0,2,9.470361,0,0,0,1,0,1,193,1,4,4,0,1,0,0,1,64.63983,5,4,5,0,5994.514316
